experiment_id,method,lighting,background,run_id,timestamp,cube_pos_x,cube_pos_y,cube_pos_z,cube_size_x,cube_size_y,cube_size_z,status,point_count,execution_time_s,chamfer_distance_mm,hausdorff_distance_mm,mean_residual_mm,median_residual_mm,coverage_3mm,coverage_adaptive,adaptive_threshold_mm,std_residual_mm,cv_residual,closure_detected,returned_to_start,success_criteria_met,edge_samples_count,transform_matrix,rect_vertices,platform,python_version,cpu_count,memory_gb,genesis_version,position_perturbation_m,height_perturbation_m,coverage_threshold_m,partial_coverage_threshold,success_coverage_threshold,n_runs,error_message
canny_normal_0,canny,normal,simple,0,2025-08-27T17:28:29.261286,0.3449816047538945,0.09802857225639665,0.02231993941811405,0.105,0.18,0.022,Success,3874,32.216821908950806,2.9519281453487434,21.221103483064624,2.5433837209321304,0.7249900162825262,1.0,0.006969540526587507,0.08561990413511728,4.242777025630399,1.668162373892782,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
rgbd_normal_0,rgbd,normal,simple,0,2025-08-27T17:31:57.008702,0.3449816047538945,0.09802857225639665,0.02231993941811405,0.105,0.18,0.022,Success,8216,179.11751127243042,6.6291704562136475,22.684693613260265,5.111858689215474,2.1672993440268713,1.0,0.0009737098344693282,0.18871369736514879,5.480524420460052,1.0721197031565748,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
canny_normal_1,canny,normal,simple,1,2025-08-27T17:32:37.382062,0.33460218265559116,0.08436266157117926,0.016333909641859882,0.105,0.18,0.022,Success,4231,11.939305067062378,2.816488269832639,17.46089324347019,2.455280939466871,0.7115257361823436,1.0,0.011581186480737414,0.11002207925239663,4.1271988888972055,1.6809477166361937,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
rgbd_normal_1,rgbd,normal,simple,1,2025-08-27T17:34:22.808312,0.33460218265559116,0.08436266157117926,0.016333909641859882,0.105,0.18,0.022,Success,6006,75.46814894676208,4.9335568512282615,11.297050201142605,3.138258683894427,1.9709484485061117,1.0,0.0001665001665001665,0.105108565886227,2.4496331777991953,0.780570827500848,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
canny_normal_2,canny,normal,simple,2,2025-08-27T17:35:02.387185,0.36339368594662597,0.06419184417479479,0.02244640481679518,0.105,0.18,0.022,Success,3018,9.46971321105957,3.7665170807215897,18.21646720584145,2.9927008493706824,0.7543237781965396,1.0,0.009609012591119947,0.11688514003114693,4.447828824726958,1.4862256699202883,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
rgbd_normal_2,rgbd,normal,simple,2,2025-08-27T17:35:51.448676,0.36339368594662597,0.06419184417479479,0.02244640481679518,0.105,0.18,0.022,Success,8202,18.67805504798889,6.6491712202177045,22.39913858940825,5.100523998887739,2.1780726317833214,1.0,0.000365764447695684,0.17808500024911922,5.446885375305388,1.0679070182775687,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
canny_bright_0,canny,bright,simple,0,2025-08-27T17:36:39.202880,0.3449816047538945,0.09802857225639665,0.02231993941811405,0.105,0.18,0.022,Success,3857,17.246371746063232,2.722889513258927,19.08245394814863,2.4582335101150656,0.6955648350228147,1.0,0.00855587243971999,0.1094775075127657,4.122843102082956,1.6771568222133515,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
rgbd_bright_0,rgbd,bright,simple,0,2025-08-27T17:37:40.738383,0.3449816047538945,0.09802857225639665,0.02231993941811405,0.105,0.18,0.022,Success,6995,30.518293142318726,5.4706930193356405,20.55366975066413,4.239379936554534,2.0780946101995936,1.0,0.0001429592566118656,0.19377191859495044,4.557846693146089,1.075121069910611,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
canny_bright_1,canny,bright,simple,1,2025-08-27T17:38:31.678620,0.33460218265559116,0.08436266157117926,0.016333909641859882,0.105,0.18,0.022,Success,3273,22.307126998901367,2.3881554706293238,15.490908771150629,2.055282415994909,0.7977711438189085,1.0,0.022303696914146045,0.1546409288737211,3.1866918467309215,1.5504885469417724,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
rgbd_bright_1,rgbd,bright,simple,1,2025-08-27T17:39:32.303428,0.33460218265559116,0.08436266157117926,0.016333909641859882,0.105,0.18,0.022,Success,7434,52.87424373626709,9.153270505554667,23.67824802762578,5.733684631941468,2.1045005638615986,1.0,0.00013451708366962604,0.1630110468618304,6.1527651192747905,1.0730909553341477,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
