object,lighting,method,n_trials,chamfer_distance_mm_mean,chamfer_distance_mm_std,chamfer_distance_mm_min,chamfer_distance_mm_max,chamfer_distance_mm_median,hausdorff_distance_mm_mean,hausdorff_distance_mm_std,hausdorff_distance_mm_min,hausdorff_distance_mm_max,hausdorff_distance_mm_median,std_residual_mm_mean,std_residual_mm_std,std_residual_mm_min,std_residual_mm_max,std_residual_mm_median,cv_residual_mean,cv_residual_std,cv_residual_min,cv_residual_max,cv_residual_median,execution_time_s_mean,execution_time_s_std,execution_time_s_min,execution_time_s_max,execution_time_s_median,point_count_mean,point_count_std,point_count_min,point_count_max,point_count_median
Cube,normal,CANNY,3,3.179,0.419,2.817,3.767,2.952,18.966,1.624,17.461,21.221,18.216,4.273,0.132,4.128,4.448,4.243,1.612,0.089,1.486,1.681,1.668,3.935,0.344,3.466,4.282,4.055,3707.333,508.638,3018.0,4230.0,3874.0
Cube,normal,RGBD,3,6.071,0.804,4.934,6.649,6.629,18.794,5.302,11.297,22.685,22.399,4.459,1.421,2.45,5.481,5.447,0.974,0.136,0.781,1.072,1.068,7.106,0.934,5.785,7.772,7.76,7474.667,1038.52,6006.0,8216.0,8202.0
Cube,bright,CANNY,3,2.827,0.407,2.389,3.37,2.722,17.984,1.767,15.491,19.38,19.082,3.868,0.487,3.187,4.296,4.123,1.623,0.053,1.55,1.677,1.641,4.218,0.373,3.917,4.743,3.994,3777.0,383.054,3273.0,4201.0,3857.0
Cube,bright,RGBD,3,6.69,1.742,5.447,9.153,5.471,21.71,1.399,20.554,23.678,20.897,5.083,0.757,4.538,6.153,4.558,1.074,0.001,1.073,1.075,1.073,7.147,0.301,6.877,7.566,6.998,7132.667,213.339,6969.0,7434.0,6995.0
Cube,dim,CANNY,3,3.117,0.585,2.295,3.613,3.442,17.736,2.342,15.025,20.74,17.444,4.279,0.865,3.068,5.036,4.732,1.543,0.03,1.503,1.575,1.55,4.187,0.304,3.774,4.497,4.291,3811.667,448.296,3249.0,4346.0,3840.0
Cube,dim,RGBD,3,7.176,2.261,5.443,10.37,5.716,20.133,3.153,15.681,22.568,22.151,4.495,1.096,3.298,5.946,4.241,0.941,0.051,0.904,1.013,0.907,5.727,1.309,3.936,7.029,6.216,6015.0,1146.205,4433.0,7112.0,6500.0
ctry.obj,normal,CANNY,3,33.297,0.136,33.108,33.425,33.358,63.341,2.188,60.329,65.464,64.23,14.311,0.407,13.831,14.825,14.276,0.666,0.062,0.578,0.717,0.702,6.992,0.761,6.005,7.856,7.114,6117.333,1510.506,4658.0,8198.0,5496.0
ctry.obj,normal,RGBD,3,30.787,0.704,30.275,31.783,30.304,65.253,1.919,62.574,66.97,66.215,14.593,0.656,13.669,15.127,14.982,0.643,0.04,0.586,0.672,0.671,12.318,1.455,10.262,13.423,13.268,11478.0,976.226,10098.0,12203.0,12133.0
ctry.obj,bright,CANNY,3,34.909,0.995,33.874,36.253,34.6,66.088,5.99,60.454,74.384,63.427,14.705,1.14,13.532,16.249,14.334,0.62,0.03,0.59,0.661,0.609,4.256,1.005,2.848,5.128,4.793,3544.0,1107.652,2319.0,5002.0,3311.0
ctry.obj,bright,RGBD,3,30.25,0.817,29.291,31.288,30.17,66.719,2.491,63.24,68.941,67.976,14.616,0.349,14.126,14.906,14.817,0.641,0.025,0.616,0.675,0.632,11.502,6.269,3.204,18.354,12.949,11600.333,2624.676,8176.0,14553.0,12072.0
ctry.obj,dim,CANNY,3,58.273,28.254,34.735,98.005,42.081,130.186,99.207,59.645,270.486,60.429,35.48,30.592,13.677,78.743,14.019,0.714,0.162,0.538,0.929,0.675,6.654,5.388,1.473,14.083,4.407,5743.0,2687.183,1952.0,7868.0,7409.0
ctry.obj,dim,RGBD,3,30.739,0.557,30.235,31.516,30.466,65.248,1.725,62.879,66.935,65.93,14.054,0.641,13.471,14.946,13.746,0.619,0.037,0.587,0.671,0.6,11.232,1.579,10.008,13.461,10.227,10673.333,1037.725,9772.0,12127.0,10121.0
