method,object_type,lighting,trial_id,seed,object_position,object_size,detected_position,detected_range,pos_error_mm,range_error_mm,detection_time_s,success_pos_2cm,success_range_2cm,success_both
hsv_depth,cube,normal,0,352033275,"[0.38934866283325825, 0.04181956759443431, 0.02]","[0.105, 0.18, 0.022]","[0.3874604324435955, 0.04046686046328141, 0.022467229642723185]","[np.float64(0.3364729434258738), np.float64(0.44834008599789393), np.float64(-0.05270873917408875), np.float64(0.1431575676946982)]",3.388576795212082,17.28864774234722,2.7215099334716797,True,True,True
depth_clustering,cube,normal,0,3475708675,"[0.38934866283325825, 0.04181956759443431, 0.02]","[0.105, 0.18, 0.022]","[0.3838256846626716, 0.040421212439160976, 0.02166223109069565]","[np.float64(0.3364574302522148), np.float64(0.44298374495826537), np.float64(-0.048717803555310024), np.float64(0.1328637390916877)]",5.934787040149933,2.1979339676566347,12.115767002105713,True,True,True
hsv_depth,cube,normal,1,1505118089,"[0.37538160120304415, 0.01795845722108338, 0.02]","[0.105, 0.18, 0.022]","[0.37249991154537776, 0.017232495673776785, 0.02245681803582189]","[np.float64(0.3227053895768511), np.float64(0.4376717411362928), np.float64(-0.07761404117983828), np.float64(0.11822803859670243)]",3.8557891944981817,18.716293838596034,2.615516185760498,True,True,True
depth_clustering,cube,normal,1,614883242,"[0.37538160120304415, 0.01795845722108338, 0.02]","[0.105, 0.18, 0.022]","[0.3700460015260311, 0.01668891439728148, 0.02171759108713556]","[np.float64(0.32269413871668295), np.float64(0.4289802198897728), np.float64(-0.07259762145586196), np.float64(0.10894782510655732)]",5.74721515496122,2.010574510200952,12.184019088745117,True,True,True
hsv_depth,cube,normal,2,2601417541,"[0.3930662132832729, 0.029419610209073233, 0.02]","[0.105, 0.18, 0.022]","[0.39051487672256857, 0.029073060994647244, 0.02246591482072785]","[np.float64(0.3403831475032735), np.float64(0.4495265761671858), np.float64(-0.06567796951016708), np.float64(0.1302130521528771)]",3.5651298022780513,16.422319281644405,2.6190569400787354,True,True,True
depth_clustering,cube,normal,2,92335843,"[0.3930662132832729, 0.029419610209073233, 0.02]","[0.105, 0.18, 0.022]","[0.3874818867016155, 0.0281653627514187, 0.02167125412889993]","[np.float64(0.34037730440033287), np.float64(0.4466971089248695), np.float64(-0.06113035544980586), np.float64(0.12041319649571394)]",5.96246009789613,2.030870894839317,12.140200853347778,True,True,True
hsv_depth,cube,normal,3,2289296302,"[0.37384063501683534, 0.004909419773494556, 0.02]","[0.105, 0.18, 0.022]","[0.37168932623406237, 0.0037081279129724948, 0.022453772776118486]","[np.float64(0.32116458888217914), np.float64(0.43648846786049145), np.float64(-0.09126279295766485), np.float64(0.10460707631836598)]",3.4773887401055577,18.932385692171685,2.611462116241455,True,True,True
depth_clustering,cube,normal,3,3757454338,"[0.37384063501683534, 0.004909419773494556, 0.02]","[0.105, 0.18, 0.022]","[0.3685206930450992, 0.003561643572626919, 0.02172137141590587]","[np.float64(0.3211591563905961), np.float64(0.427444767356399), np.float64(-0.08565957794055497), np.float64(0.0959020882586357)]",5.751643488757164,2.022769604549023,12.177817821502686,True,True,True
hsv_depth,cube,normal,4,3475044595,"[0.3518376236017299, 0.02034082226457521, 0.02]","[0.105, 0.18, 0.022]","[0.34890367247813375, 0.018478681776637973, 0.022443550625254216]","[np.float64(0.2991594179654481), np.float64(0.41698717046539086), np.float64(-0.075152450760576), np.float64(0.12071961446384533)]",4.248126181111663,20.40768699995355,2.612835168838501,True,False,False
depth_clustering,cube,normal,4,3949416057,"[0.3518376236017299, 0.02034082226457521, 0.02]","[0.105, 0.18, 0.022]","[0.3468778432232873, 0.01901603082600441, 0.021794556401670277]","[np.float64(0.2991540390708739), np.float64(0.4054469349149845), np.float64(-0.07021339792866929), np.float64(0.11133439350630767)]",5.438283409024422,2.0167394452200784,12.420881271362305,True,True,True
hsv_depth,cube,normal,5,3511983747,"[0.36626396576254794, 0.04396559428797766, 0.02]","[0.105, 0.18, 0.022]","[0.3641354359196427, 0.0428988718366826, 0.022455611655482155]","[np.float64(0.3133859741453966), np.float64(0.4316640616778503), np.float64(-0.050464684888438), np.float64(0.14538797912676688)]",3.420316459448588,20.67884341297828,2.6743390560150146,True,False,False
depth_clustering,cube,normal,5,3937063946,"[0.36626396576254794, 0.04396559428797766, 0.02]","[0.105, 0.18, 0.022]","[0.3611013088000028, 0.04246155000681513, 0.02172985999694213]","[np.float64(0.31337064178169616), np.float64(0.4198720680462893), np.float64(-0.04656920061323494), np.float64(0.13500794127042473)]",5.648680529259392,2.177534695292762,12.206766843795776,True,True,True
hsv_depth,cube,bright,0,851849691,"[0.3920588310667621, 0.019326640837771317, 0.02]","[0.105, 0.18, 0.022]","[0.3857592184038924, 0.018236661247106066, 0.022463350226983758]","[np.float64(0.33937204827972633), np.float64(0.4550132083862118), np.float64(-0.07620397607398066), np.float64(0.11964953195158026)]",6.851369903240969,19.09366400480491,2.6119349002838135,True,True,True
depth_clustering,cube,bright,0,1291811790,"[0.3920588310667621, 0.019326640837771317, 0.02]","[0.105, 0.18, 0.022]","[0.3864685376699376, 0.018048561119081947, 0.021666032792668374]","[np.float64(0.3393712131532449), np.float64(0.44569895282353794), np.float64(-0.07122857230971895), np.float64(0.11028674125440313)]",5.971644103272644,2.0147128405016654,14.154557943344116,True,True,True
hsv_depth,cube,bright,1,3907210280,"[0.3711560610490017, 0.03544373846417939, 0.02]","[0.105, 0.18, 0.022]","[0.36509437087287777, 0.03380632624056963, 0.02245434684901948]","[np.float64(0.31846731494815816), np.float64(0.42982733554305164), np.float64(-0.05937923341496287), np.float64(0.1364769963765462)]",6.741589207051668,17.084199869136672,2.6069281101226807,True,True,True
depth_clustering,cube,bright,1,2716097123,"[0.3711560610490017, 0.03544373846417939, 0.02]","[0.105, 0.18, 0.022]","[0.36590619434672206, 0.03412262558841999, 0.021732215423605265]","[np.float64(0.3182659237607919), np.float64(0.4247465623485426), np.float64(-0.05509912317324395), np.float64(0.12646760041711289)]",5.6839255709392855,2.1556700666189754,14.382820844650269,True,True,True
hsv_depth,cube,bright,2,1701234900,"[0.38509162026963706, 0.039660672331803204, 0.02]","[0.105, 0.18, 0.022]","[0.37895990660726453, 0.03793546847611414, 0.02246164168907039]","[np.float64(0.33220128677591587), np.float64(0.4441968081638874), np.float64(-0.054964380372305305), np.float64(0.14089873939161657)]",6.828903322377588,17.337124563609052,2.671037197113037,True,True,True
depth_clustering,cube,bright,2,3628162871,"[0.38509162026963706, 0.039660672331803204, 0.02]","[0.105, 0.18, 0.022]","[0.3796097614783646, 0.03830998765572798, 0.021669155070635177]","[np.float64(0.332199822942374), np.float64(0.43871827800385715), np.float64(-0.050880965108678816), np.float64(0.13069119165809384)]",5.887376627281672,2.1857224602069154,14.228622913360596,True,True,True
hsv_depth,cube,bright,3,3142638736,"[0.366854644805812, 0.0152423264949345, 0.02]","[0.105, 0.18, 0.022]","[0.3602148618922608, 0.013797781067876533, 0.022449700666475947]","[np.float64(0.31417216171290396), np.float64(0.4277605550100607), np.float64(-0.08048269502860861), np.float64(0.11537981350975672)]",7.223189183819897,18.03828363665349,2.629526138305664,True,True,True
depth_clustering,cube,bright,3,3210638692,"[0.366854644805812, 0.0152423264949345, 0.02]","[0.105, 0.18, 0.022]","[0.36165175225713037, 0.01392968068418471, 0.02174554809984864]","[np.float64(0.3141719168314001), np.float64(0.4204775508658458), np.float64(-0.07531834417315508), np.float64(0.1062222865341548)]",5.642700423245135,2.0194611182712077,14.175780057907104,True,True,True
hsv_depth,cube,bright,4,1778305884,"[0.38699284524909755, 0.02326275282785575, 0.02]","[0.105, 0.18, 0.022]","[0.38018517454096706, 0.022073271213376537, 0.022460315816373144]","[np.float64(0.3343045571018549), np.float64(0.44744875844177584), np.float64(-0.0720824841594851), np.float64(0.12376855892429471)]",7.335693620770824,17.82087490301793,2.6145401000976562,True,True,True
depth_clustering,cube,bright,4,3886234764,"[0.38699284524909755, 0.02326275282785575, 0.02]","[0.105, 0.18, 0.022]","[0.3814857411271102, 0.02200833676669689, 0.02168042466142545]","[np.float64(0.33430435331675923), np.float64(0.44063009655093965), np.float64(-0.06728976357655539), np.float64(0.11428324243719867)]",5.892841632661631,2.0571686956304016,14.23632287979126,True,True,True
hsv_depth,cube,bright,5,4126260910,"[0.3768260415214139, 0.03283932088447299, 0.02]","[0.105, 0.18, 0.022]","[0.37021501366184223, 0.03130144351336074, 0.02245750831605353]","[np.float64(0.324139278430868), np.float64(0.44232019445560383), np.float64(-0.062012875042639026), np.float64(0.1337956610403128)]",7.218732803760251,20.582671360567574,2.597614049911499,True,False,False
depth_clustering,cube,bright,5,147737481,"[0.3768260415214139, 0.03283932088447299, 0.02]","[0.105, 0.18, 0.022]","[0.3714711173165486, 0.03157752573511033, 0.021714111293312167]","[np.float64(0.3241390392588688), np.float64(0.43042686615592657), np.float64(-0.05770417628197248), np.float64(0.12387837951340275)]",5.762422907481543,2.0403384430680465,14.038539171218872,True,True,True
hsv_depth,cube,dim,0,1995574371,"[0.3725454862705443, 0.015235533991609757, 0.02]","[0.105, 0.18, 0.022]","[0.3704089188109971, 0.013984671715167929, 0.02245465066826563]","[np.float64(0.3198677802743516), np.float64(0.43792139266725183), np.float64(-0.08048269502860861), np.float64(0.11581346345122312)]",3.4863859291590424,20.879692950421255,2.6190590858459473,True,False,False
depth_clustering,cube,dim,0,1876684052,"[0.3725454862705443, 0.015235533991609757, 0.02]","[0.105, 0.18, 0.022]","[0.3672619625655818, 0.013933270062020723, 0.021726245682620975]","[np.float64(0.3198599384252811), np.float64(0.4261438317466024), np.float64(-0.07532532823561974), np.float64(0.10625459021740441)]",5.708891156781392,2.0358104967653037,17.756661891937256,True,True,True
hsv_depth,cube,dim,1,3534274602,"[0.36637593869457485, 0.044378151239242325, 0.02]","[0.105, 0.18, 0.022]","[0.3641354359196427, 0.0428988718366826, 0.022455611655482155]","[np.float64(0.31349889037422324), np.float64(0.4301708008333198), np.float64(-0.05004078795067948), np.float64(0.14624989680766082)]",3.6384266981562137,20.040456672960072,2.6775872707366943,True,False,False
depth_clustering,cube,dim,1,3350124427,"[0.36637593869457485, 0.044378151239242325, 0.02]","[0.105, 0.18, 0.022]","[0.36120912547140266, 0.042885137037734604, 0.021728720913558652]","[np.float64(0.3134831996504475), np.float64(0.41996626727057784), np.float64(-0.0461572700748526), np.float64(0.13540289276162285)]",5.649205810202514,2.152579299862885,17.75985598564148,True,True,True
hsv_depth,cube,dim,2,245217435,"[0.3724992900723089, 0.048881341198996855, 0.02]","[0.105, 0.18, 0.022]","[0.37035474098106536, 0.04751177626237307, 0.022459632969963617]","[np.float64(0.31962145130037256), np.float64(0.4361085297595261), np.float64(-0.04533490726720557), np.float64(0.150903705285253)]",3.539010210117363,19.890839830324257,2.7023990154266357,True,True,True
depth_clustering,cube,dim,2,2022653729,"[0.3724992900723089, 0.048881341198996855, 0.02]","[0.105, 0.18, 0.022]","[0.36724692295478667, 0.047319179043983715, 0.021704765705893286]","[np.float64(0.3196029867844776), np.float64(0.4260998646506221), np.float64(-0.04165051936099415), np.float64(0.13991758439151833)]",5.738809723956189,2.1678544058116627,17.78544521331787,True,True,True
