experiment_id,object_name,method,lighting,background,run_id,timestamp,object_pos_x,object_pos_y,object_pos_z,status,point_count,execution_time_s,chamfer_distance_mm,hausdorff_distance_mm,mean_residual_mm,median_residual_mm,coverage_3mm,coverage_adaptive,adaptive_threshold_mm,std_residual_mm,cv_residual,closure_detected,returned_to_start,success_criteria_met,edge_samples_count,transform_matrix,rect_vertices,platform,python_version,cpu_count,memory_gb,genesis_version,position_perturbation_m,height_perturbation_m,coverage_threshold_m,partial_coverage_threshold,success_coverage_threshold,n_runs,error_message
Cube_canny_normal_0,Cube,canny,normal,simple,0,2025-09-12T16:09:14.635317,0.3449816047538945,0.09802857225639665,0.02231993941811405,Success,3874,4.054856061935425,2.9519281453487434,21.221103483064624,2.5433837209321304,0.7249900162825262,1.0,0.006969540526587507,0.08561990413511728,4.242777025630399,1.668162373892782,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_normal_0,Cube,rgbd,normal,simple,0,2025-09-12T16:09:53.088514,0.3449816047538945,0.09802857225639665,0.02231993941811405,Success,8216,7.771709203720093,6.6291704562136475,22.684693613260265,5.111858689215474,2.1672993440268713,1.0,0.0009737098344693282,0.18871369736514879,5.480524420460052,1.0721197031565748,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_normal_1,Cube,canny,normal,simple,1,2025-09-12T16:10:27.887615,0.33460218265559116,0.08436266157117926,0.016333909641859882,Success,4230,4.28226113319397,2.817207841334671,17.46089324347019,2.4557928605760693,0.711762667382075,1.0,0.011583924349881796,0.11001497483605063,4.127552395204814,1.6807412634291115,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_normal_1,Cube,rgbd,normal,simple,1,2025-09-12T16:11:04.288945,0.33460218265559116,0.08436266157117926,0.016333909641859882,Success,6006,5.784905910491943,4.9335568512282615,11.297050201142605,3.138258683894427,1.9709484485061117,1.0,0.0001665001665001665,0.105108565886227,2.4496331777991953,0.780570827500848,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_normal_2,Cube,canny,normal,simple,2,2025-09-12T16:11:38.185510,0.36339368594662597,0.06419184417479479,0.02244640481679518,Success,3018,3.466430902481079,3.7665170807215897,18.21646720584145,2.9927008493706824,0.7543237781965396,1.0,0.009609012591119947,0.11688514003114693,4.447828824726958,1.4862256699202883,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_normal_2,Cube,rgbd,normal,simple,2,2025-09-12T16:12:16.897228,0.36339368594662597,0.06419184417479479,0.02244640481679518,Success,8202,7.760010004043579,6.6491712202177045,22.39913858940825,5.100523998887739,2.1780726317833214,1.0,0.000365764447695684,0.17808500024911922,5.446885375305388,1.0679070182775687,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_bright_0,Cube,canny,bright,simple,0,2025-09-12T16:12:51.683085,0.3449816047538945,0.09802857225639665,0.02231993941811405,Success,3857,3.993859052658081,2.7221032575670643,19.08245394814863,2.4583119767902306,0.6956239466984736,1.0,0.00855587243971999,0.1094775075127657,4.122812866209262,1.677090989725534,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_bright_0,Cube,rgbd,bright,simple,0,2025-09-12T16:13:30.216811,0.3449816047538945,0.09802857225639665,0.02231993941811405,Success,6995,6.8768510818481445,5.4706930193356405,20.55366975066413,4.239379936554534,2.0780946101995936,1.0,0.0001429592566118656,0.19377191859495044,4.557846693146089,1.075121069910611,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_bright_1,Cube,canny,bright,simple,1,2025-09-12T16:14:05.270746,0.33460218265559116,0.08436266157117926,0.016333909641859882,Success,3273,3.9170799255371094,2.388568776076077,15.490908771150629,2.055695721441662,0.7989296220618453,1.0,0.022303696914146045,0.15467305530283196,3.1866046826694503,1.5501344140730515,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_bright_1,Cube,rgbd,bright,simple,1,2025-09-12T16:14:44.407849,0.33460218265559116,0.08436266157117926,0.016333909641859882,Success,7434,7.566288948059082,9.153270505554667,23.67824802762578,5.733684631941468,2.1045005638615986,1.0,0.00013451708366962604,0.1630110468618304,6.1527651192747905,1.0730909553341477,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_bright_2,Cube,canny,bright,simple,2,2025-09-12T16:15:20.808153,0.36339368594662597,0.06419184417479479,0.02244640481679518,Success,4201,4.7432849407196045,3.3695767817815736,19.380038497010396,2.617733535936127,0.7293510186873949,1.0,0.0042846941204475126,0.08048157449534697,4.296017915153641,1.641121166909505,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_bright_2,Cube,rgbd,bright,simple,2,2025-09-12T16:16:00.022676,0.36339368594662597,0.06419184417479479,0.02244640481679518,Success,6969,6.998003005981445,5.447359236426448,20.89745321276311,4.229198128873465,2.046804895633843,1.0,0.0,0.19346660768415522,4.538178148828549,1.0730587715542632,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_dim_0,Cube,canny,dim,simple,0,2025-09-12T16:16:39.855814,0.3449816047538945,0.09802857225639665,0.02231993941811405,Success,3840,4.2912468910217285,3.6134010548426505,17.443858985854895,3.350310648522824,0.7501037189345985,1.0,0.008333333333333333,0.09594715393752216,5.036211231139649,1.5032072423971046,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_dim_0,Cube,rgbd,dim,simple,0,2025-09-12T16:17:14.935298,0.3449816047538945,0.09802857225639665,0.02231993941811405,Success,4433,3.936187982559204,10.369591159122166,22.151248092726938,6.580587557424245,2.311893705169613,1.0,0.00022558087074216106,0.19667441171838596,5.946489501692177,0.903641118638916,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, -0.09802857225639665], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_dim_1,Cube,canny,dim,simple,1,2025-09-12T16:17:50.893607,0.33460218265559116,0.08436266157117926,0.016333909641859882,Success,4346,4.497388124465942,3.442377371622997,20.740173191610936,3.0044877378846007,0.7432245501227891,1.0,0.00529222273354809,0.081747315060784,4.732037703244115,1.5749898538696807,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_dim_1,Cube,rgbd,dim,simple,1,2025-09-12T16:18:29.149738,0.33460218265559116,0.08436266157117926,0.016333909641859882,Success,7112,7.028518915176392,5.7155038430373475,22.56771813440119,4.184801461988537,2.0726157386506454,1.0,0.00014060742407199101,0.18696033847721122,4.24054060998076,1.0133194247083197,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, -0.08436266157117926], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.08999999999999998], [-0.05249999999999999, 0.08999999999999998]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_canny_dim_2,Cube,canny,dim,simple,2,2025-09-12T16:19:04.215033,0.36339368594662597,0.06419184417479479,0.02244640481679518,Success,3249,3.7736051082611084,2.2947265205716767,15.025254047505104,1.9795693712355453,0.8085248082067982,1.0,0.017236072637734686,0.1470425575765725,3.0676233217265163,1.549641738400844,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
Cube_rgbd_dim_2,Cube,rgbd,dim,simple,2,2025-09-12T16:19:42.203823,0.36339368594662597,0.06419184417479479,0.02244640481679518,Success,6500,6.216275930404663,5.44324282706793,15.680847962539067,3.635996513182991,2.065372048549132,1.0,0.0,0.14895354696363378,3.297609868851188,0.9069342769980888,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, -0.06419184417479479], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
ctry.obj_canny_normal_0,ctry.obj,canny,normal,simple,0,2025-09-12T16:20:21.479678,0.3449816047538945,-0.061971427743603355,0.02231993941811405,Success,8198,7.856271743774414,33.42457809355132,65.46380465792402,23.933927512332474,23.206206080902806,0.6829714564527933,0.00048792388387411563,0.11097097653548275,13.830790926150947,0.5778738537176704,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, 0.061971427743603355], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.08999999999999998], [0.05249999999999999, -0.08999999999999998], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
ctry.obj_rgbd_normal_0,ctry.obj,rgbd,normal,simple,0,2025-09-12T16:21:06.605371,0.3449816047538945,-0.061971427743603355,0.02231993941811405,Success,12203,13.423194169998169,30.303582276830983,66.21520941599333,22.533659478060013,18.392959028838032,0.6995820699827912,0.00032778824879128084,0.1322488022353685,15.1269255919459,0.6713035495488112,True,False,True,284,"[[1.0, 0.0, 0.0, -0.3449816047538945], [0.0, 1.0, 0.0, 0.061971427743603355], [0.0, 0.0, 1.0, -0.02231993941811405], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.08999999999999998], [0.05249999999999999, -0.08999999999999998], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
ctry.obj_canny_normal_1,ctry.obj,canny,normal,simple,1,2025-09-12T16:21:46.022407,0.33460218265559116,-0.07563733842882074,0.016333909641859882,Success,5496,7.11362886428833,33.10837575597443,60.32933572171836,20.331672984547644,14.196097304938787,0.7147016011644832,0.000363901018922853,0.0653930860982735,14.275880683216364,0.7021498277129598,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, 0.07563733842882074], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.08999999999999998], [0.05249999999999999, -0.08999999999999998], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
ctry.obj_rgbd_normal_1,ctry.obj,rgbd,normal,simple,1,2025-09-12T16:22:29.319317,0.33460218265559116,-0.07563733842882074,0.016333909641859882,Success,10098,10.261656999588013,31.78314366946211,62.57431559240077,23.333213372424957,23.044815845984118,0.6817191523073876,0.0,0.14525273979863598,13.668959071169196,0.5858155434057396,True,False,True,284,"[[1.0, 0.0, 0.0, -0.33460218265559116], [0.0, 1.0, 0.0, 0.07563733842882074], [0.0, 0.0, 1.0, -0.016333909641859882], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.08999999999999998], [0.05249999999999999, -0.08999999999999998], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
ctry.obj_canny_normal_2,ctry.obj,canny,normal,simple,2,2025-09-12T16:23:08.508914,0.36339368594662597,-0.09580815582520522,0.02244640481679518,Success,4658,6.004928112030029,33.35770799738169,64.23032551256243,20.66872319261099,14.227232007630073,0.7037355088020609,0.0,0.07761729364599308,14.825302968167842,0.7172819931841675,True,False,True,284,"[[1.0, 0.0, 0.0, -0.36339368594662597], [0.0, 1.0, 0.0, 0.09580815582520522], [0.0, 0.0, 1.0, -0.02244640481679518], [0.0, 0.0, 0.0, 1.0]]","[[-0.05249999999999999, -0.09], [0.05249999999999999, -0.09], [0.05249999999999999, 0.09], [-0.05249999999999999, 0.09]]",macOS-15.6.1-arm64-arm-64bit,3.10.18,12,24.0,0.2.1,0.02,0.005,0.03,0.3,0.7,3,
