method,object_type,lighting,trial_id,seed,object_position,object_size,detected_position,detected_range,pos_error_mm,range_error_mm,detection_time_s,success_pos_2cm,success_range_2cm,success_both
hsv_depth,ttt_obj,normal,0,3344414012,"[-0.633323132069079, 0.30514872350575606, 0.03337933072238297]","[0.1, 0.1, 0.1]","[-0.6166852223870825, 0.30164922364683244, 0.05419788926312841]","[np.float64(-0.7474283688923647), np.float64(-0.5269747929797636), np.float64(0.22314849321737112), np.float64(0.4097225138269587)]",26.878967940814334,148.33787444426338,2.8340699672698975,False,False,False
depth_clustering,ttt_obj,normal,0,3569871775,"[-0.633323132069079, 0.30514872350575606, 0.03337933072238297]","[0.1, 0.1, 0.1]","[-0.5863259930455884, 0.3025815560231845, 0.05022539206912788]","[np.float64(-0.6703296954909719), np.float64(-0.5264738203443451), np.float64(0.2287013054494932), np.float64(0.3777133607662667)]",49.99111129166029,65.76868062574299,9.786250114440918,False,False,False
hsv_depth,ttt_obj,normal,1,2350806942,"[0.48987504192969644, 0.004021550739241983, 0.048930888116729306]","[0.1, 0.1, 0.1]","[0.48236473834240595, 0.0021315737466578583, 0.06956786896616485]","[np.float64(0.38892972326229297), np.float64(0.5975095513213999), np.float64(-0.09266301052286252), np.float64(0.10716620833021445)]",22.042269655952744,147.49729488421394,2.4306890964508057,False,False,False
depth_clustering,ttt_obj,normal,1,3567456041,"[0.48987504192969644, 0.004021550739241983, 0.048930888116729306]","[0.1, 0.1, 0.1]","[0.47605947805605686, 0.0007828252810922471, 0.06793475169087182]","[np.float64(0.3888863540880527), np.float64(0.5984843561639202), np.float64(-0.07792938483483189), np.float64(0.07857111068201082)]",23.717208488447856,123.30461488797,11.276330947875977,False,False,False
hsv_depth,ttt_obj,bright,0,687493876,"[-0.2984789876396725, 0.06549326724525119, 0.011745865936952994]","[0.1, 0.1, 0.1]","[-0.287334351106424, 0.062235620753761656, 0.032421916171363085]","[np.float64(-0.4002853782493262), np.float64(-0.19159098299286603), np.float64(-0.027218998374902145), np.float64(0.14797948922963255)]",23.713165908785363,132.17141936960863,2.940173864364624,False,False,False
depth_clustering,ttt_obj,bright,0,835174629,"[-0.2984789876396725, 0.06549326724525119, 0.011745865936952994]","[0.1, 0.1, 0.1]","[-0.2903335716151237, 0.06325588100566563, 0.03268029336480348]","[np.float64(-0.4002853782493262), np.float64(-0.1913757100565264), np.float64(-0.017139523174965365), np.float64(0.13970486564457038)]",22.574409208880795,122.85194490170807,14.523981094360352,False,False,False
hsv_depth,ttt_obj,bright,1,3759513755,"[0.15942551360102972, -0.4645449114276054, 0.019694067135550778]","[0.1, 0.1, 0.1]","[0.16316185238018616, -0.4538156285126901, 0.040300354429999075]","[np.float64(0.08818204543976367), np.float64(0.26743818719930895), np.float64(-0.5457612516423131), np.float64(-0.390361848315356)]",23.530763170842192,96.69865508677984,2.189746856689453,False,False,False
depth_clustering,ttt_obj,bright,1,2986692716,"[0.15942551360102972, -0.4645449114276054, 0.019694067135550778]","[0.1, 0.1, 0.1]","[0.15319364907700703, -0.4562148150737948, 0.03811267313306507]","[np.float64(0.058303637475838915), np.float64(0.26828493120386565), np.float64(-0.5472856401236383), np.float64(-0.39042513221177727)]",21.15352659962898,123.81034823505387,13.428287029266357,False,False,False
hsv_depth,ttt_obj,dim,0,3206999697,"[0.12315893301548025, 0.6188889290156406, 0.027285107304732773]","[0.1, 0.1, 0.1]","[0.12218467337976872, 0.612962215254926, 0.048007384258058616]","[np.float64(0.0091996921449026), np.float64(0.25275452121428843), np.float64(0.537433668971488), np.float64(0.7428555569710273)]",21.575168133054266,178.10604542947993,2.617889165878296,False,False,False
depth_clustering,ttt_obj,dim,0,1084054141,"[0.12315893301548025, 0.6188889290156406, 0.027285107304732773]","[0.1, 0.1, 0.1]","[0.12296636987747454, 0.6032389256256645, 0.04418093678446921]","[np.float64(0.021010055464645558), np.float64(0.23063646848286512), np.float64(0.537433668971488), np.float64(0.6937458534964713)]",23.031038632174486,123.24371203926395,15.870641946792603,False,False,False
hsv_depth,ttt_obj,dim,1,552268604,"[-0.3116919054926619, -0.33021478897772344, 0.014246832209988486]","[0.1, 0.1, 0.1]","[-0.3010690654970777, -0.32230482285812634, 0.03503368842892096]","[np.float64(-0.4322349668614738), np.float64(-0.20356236641894213), np.float64(-0.4453663583999424), np.float64(-0.25664305536112675)]",24.64763041453538,156.29607354876487,3.133613109588623,False,False,False
depth_clustering,ttt_obj,dim,1,1606284229,"[-0.3116919054926619, -0.33021478897772344, 0.014246832209988486]","[0.1, 0.1, 0.1]","[-0.30447900480166007, -0.32422060743902925, 0.03368516996159247]","[np.float64(-0.41348688527619626), np.float64(-0.20331468306804), np.float64(-0.4128670390170188), np.float64(-0.2569922992657513)]",21.582518927189884,123.53097053640742,17.287580966949463,False,False,False
hsv_depth,ctry_obj,normal,0,2400772814,"[-0.2675720893278075, 0.19837188293697527, 0.04351636852845491]","[0.1, 0.1, 0.1]","[-0.24630504009895726, 0.19794383718899117, 0.09029819409318912]","[np.float64(-0.35942132412547173), np.float64(-0.17616438397231973), np.float64(0.12964883987672926), np.float64(0.30811930983617686)]",51.390756067934305,114.40862178753011,2.8039748668670654,False,False,False
depth_clustering,ctry_obj,normal,0,2290740692,"[-0.2675720893278075, 0.19837188293697527, 0.04351636852845491]","[0.1, 0.1, 0.1]","[-0.2561485664316027, 0.2013743961737007, 0.07349695643254127]","[np.float64(-0.3611023975389187), np.float64(-0.17510643111196533), np.float64(0.1277612643227098), np.float64(0.2810068175575357)]",32.223401623222145,101.14541601569682,12.314564228057861,False,False,False
hsv_depth,ctry_obj,normal,1,2153818411,"[-0.3844686224847248, 0.6615580458305257, 0.0425359059929452]","[0.1, 0.1, 0.1]","[-0.3611360758024953, 0.6436890356015593, 0.07857343561228025]","[np.float64(-0.4757238263629622), np.float64(-0.292221544875636), np.float64(0.593094833008417), np.float64(0.7683903360475918)]",46.50175052947765,112.43684356789379,2.664551258087158,False,False,False
depth_clustering,ctry_obj,normal,1,2880340413,"[-0.3844686224847248, 0.6615580458305257, 0.0425359059929452]","[0.1, 0.1, 0.1]","[-0.3680685939949471, 0.6175971812752739, 0.0609849988968366]","[np.float64(-0.4299542242445322), np.float64(-0.3057057048561084), np.float64(0.5914127531435582), np.float64(0.6652271006549839)]",50.41713573664347,35.68864089291089,9.808274030685425,False,False,False
hsv_depth,ctry_obj,bright,0,3502591563,"[0.1146438528419049, -0.42468127844539755, 0.01988181937208936]","[0.1, 0.1, 0.1]","[0.1417230490297865, -0.4039664769615975, 0.05456736106817711]","[np.float64(0.09154798986818262), np.float64(0.20788732740660637), np.float64(-0.49090050745970143), np.float64(-0.35130120331048187)]",48.636125148351084,42.83782020944742,2.1682310104370117,False,False,False
